City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,dakhla,23.6848,-15.958,20.1,93,0,7.15,EH,Tue Aug  8 21:56:50 2023
95,margaret river,-33.95,115.0667,14.69,52,16,2.32,AU,Tue Aug  8 21:56:50 2023
96,kerikeri,-35.2268,173.9474,14.01,49,81,2.96,NZ,Tue Aug  8 21:56:51 2023
97,east london,-33.0153,27.9116,17.07,79,100,3.58,ZA,Tue Aug  8 21:51:52 2023
98,chifeng,42.2683,118.9636,23.51,67,76,1.94,CN,Tue Aug  8 21:56:51 2023
99,srivardhan,18.0333,73.0167,27.54,79,99,3.55,IN,Tue Aug  8 21:56:52 2023
100,usti nad labem,50.6607,14.0323,13.71,87,100,1.54,CZ,Tue Aug  8 21:56:52 2023
101,tabuk,17.4189,121.4443,31.54,63,100,1.67,PH,Tue Aug  8 21:54:06 2023
102,vorgashor,67.5833,63.95,8.52,73,100,1.93,RU,Tue Aug  8 21:56:53 2023
103,kloulklubed,7.0419,134.2556,27.33,79,98,7.19,PW,Tue Aug  8 21:56:53 2023
104,jamestown,42.097,-79.2353,21.77,88,0,4.12,US,Tue Aug  8 21:53:49 2023
105,nar'yan-mar,67.6713,53.087,14.59,58,24,1.68,RU,Tue Aug  8 21:56:54 2023
106,chernyshevskiy,63.0128,112.4714,24.37,53,8,5.34,RU,Tue Aug  8 21:56:54 2023
107,belo sur tsiribihina,-19.7,44.55,16.04,80,0,0.89,MG,Tue Aug  8 21:56:54 2023
108,bingham,52.9498,-0.9591,11.49,90,76,0.89,GB,Tue Aug  8 21:56:54 2023
109,kodiak,57.79,-152.4072,13.73,88,100,3.09,US,Tue Aug  8 21:53:27 2023
110,alice springs,-23.7,133.8833,23.75,22,0,3.6,AU,Tue Aug  8 21:54:33 2023
111,pisco,-13.7,-76.2167,19.03,82,0,4.12,PE,Tue Aug  8 21:56:55 2023
112,papatowai,-46.5619,169.4708,5.69,70,92,6.97,NZ,Tue Aug  8 21:56:56 2023
113,katsuura,35.1333,140.3,31.01,89,99,6.82,JP,Tue Aug  8 21:53:33 2023
114,ilulissat,69.2167,-51.1,3.45,66,100,0.94,GL,Tue Aug  8 21:56:56 2023
115,obidos,-1.9175,-55.5181,26.46,63,80,1.46,BR,Tue Aug  8 21:53:13 2023
116,stanley,54.868,-1.6985,10.71,85,0,3.09,GB,Tue Aug  8 21:53:11 2023
117,puerto ayora,-0.7393,-90.3518,24.19,89,88,2.68,EC,Tue Aug  8 21:56:57 2023
118,garden city,42.3256,-83.331,23.0,74,40,3.09,US,Tue Aug  8 21:52:40 2023
119,west bay,19.3667,-81.4167,31.04,80,20,1.54,KY,Tue Aug  8 21:56:57 2023
120,strezhevoy,60.7333,77.5889,20.07,53,72,3.91,RU,Tue Aug  8 21:56:58 2023
121,happy valley-goose bay,53.3168,-60.3315,15.17,82,40,1.03,CA,Tue Aug  8 21:54:37 2023
122,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,46,40,2.0,RU,Tue Aug  8 21:56:59 2023
123,machico,32.7,-16.7667,22.62,84,20,2.57,PT,Tue Aug  8 21:57:00 2023
124,vila velha,-20.3297,-40.2925,21.97,96,100,6.69,BR,Tue Aug  8 21:57:00 2023
125,baley,51.6,116.6333,27.58,26,8,0.56,RU,Tue Aug  8 21:57:00 2023
126,flying fish cove,-10.4217,105.6791,25.82,83,100,6.69,CX,Tue Aug  8 21:57:02 2023
127,harper,4.375,-7.7169,24.1,88,100,6.26,LR,Tue Aug  8 21:54:05 2023
128,arraial do cabo,-22.9661,-42.0278,20.82,85,100,8.22,BR,Tue Aug  8 21:57:03 2023
129,altamont,42.2068,-121.7372,28.83,37,0,6.17,US,Tue Aug  8 21:57:03 2023
130,shahrud,36.4182,54.9763,23.47,41,0,1.96,IR,Tue Aug  8 21:57:03 2023
131,cam ranh,11.9214,109.1591,33.98,55,20,2.57,VN,Tue Aug  8 21:57:04 2023
132,walvis bay,-22.9575,14.5053,13.53,88,100,2.57,NA,Tue Aug  8 21:47:24 2023
133,yaren,-0.5472,166.916,27.87,76,99,3.59,NR,Tue Aug  8 21:57:04 2023
134,staraya kulatka,52.7167,47.6167,19.72,57,0,2.24,RU,Tue Aug  8 21:57:05 2023
135,tahla,34.0485,-4.428,30.42,28,90,1.21,MA,Tue Aug  8 21:57:05 2023
136,ghadamis,30.1337,9.5007,26.4,37,0,4.1,LY,Tue Aug  8 21:57:05 2023
137,konarka,19.9,86.1167,30.22,60,90,5.04,IN,Tue Aug  8 21:57:06 2023
138,siyabuswa,-25.1132,29.0445,11.08,38,3,1.14,ZA,Tue Aug  8 21:57:06 2023
139,ridgecrest,35.6225,-117.6709,35.92,7,0,9.26,US,Tue Aug  8 21:57:06 2023
140,prince rupert,54.3161,-130.3201,15.05,96,100,5.66,CA,Tue Aug  8 21:54:10 2023
141,fortuna,40.5982,-124.1573,17.21,85,0,3.6,US,Tue Aug  8 21:50:57 2023
142,phan rang-thap cham,11.5667,108.9833,35.55,42,11,2.12,VN,Tue Aug  8 21:57:07 2023
143,santa ana,33.7456,-117.8678,28.7,68,75,3.6,US,Tue Aug  8 21:57:07 2023
144,elliot lake,46.3834,-82.6331,13.98,92,30,2.11,CA,Tue Aug  8 21:57:08 2023
145,adelia maria,-33.6315,-64.021,4.24,86,0,5.77,AR,Tue Aug  8 21:57:08 2023
146,vadso,70.0744,29.7487,19.49,77,0,1.54,NO,Tue Aug  8 21:57:08 2023
147,hadibu,12.65,54.0333,25.69,80,100,11.25,YE,Tue Aug  8 21:57:09 2023
148,poninka,50.1849,27.5363,10.18,92,8,2.09,UA,Tue Aug  8 21:57:09 2023
149,avarua,-21.2078,-159.775,24.03,60,20,4.63,CK,Tue Aug  8 21:57:09 2023
150,rongelap,11.1635,166.8941,28.45,77,100,4.84,MH,Tue Aug  8 21:54:27 2023
151,ebon,4.582,168.6964,27.36,73,100,0.99,MH,Tue Aug  8 21:57:10 2023
152,mugia,43.1041,-9.2179,17.17,93,8,4.61,ES,Tue Aug  8 21:57:10 2023
153,coquimbo,-29.9533,-71.3436,12.85,94,75,1.03,CL,Tue Aug  8 21:56:35 2023
154,nuuk,64.1835,-51.7216,3.82,93,93,3.58,GL,Tue Aug  8 21:57:10 2023
155,keflavik,64.0049,-22.5624,8.24,93,0,3.6,IS,Tue Aug  8 21:57:11 2023
156,labasa,-16.4167,179.3833,27.06,72,100,2.34,FJ,Tue Aug  8 21:57:11 2023
157,rio grande,-32.035,-52.0986,14.41,74,99,8.1,BR,Tue Aug  8 21:57:12 2023
158,nabari,34.6167,136.0833,32.83,72,53,5.82,JP,Tue Aug  8 21:57:12 2023
159,hermanus,-34.4187,19.2345,11.0,84,0,6.24,ZA,Tue Aug  8 21:57:12 2023
160,bom jesus,-9.0744,-44.3586,22.56,48,2,1.41,BR,Tue Aug  8 21:57:13 2023
161,manokwari,-0.8667,134.0833,28.26,73,54,2.55,ID,Tue Aug  8 21:57:13 2023
162,lihue,21.9789,-159.3672,33.58,72,100,9.77,US,Tue Aug  8 21:57:13 2023
163,tolanaro,-25.0319,46.9987,20.04,94,40,4.12,MG,Tue Aug  8 21:57:14 2023
164,qaqortoq,60.7167,-46.0333,5.03,88,62,0.35,GL,Tue Aug  8 21:57:14 2023
165,pacific grove,36.6177,-121.9166,18.34,84,40,3.09,US,Tue Aug  8 21:57:14 2023
